No Multiple					
Codigo Item	Descripcion	Unidad medida	Cantidad	Valor Unitario	Nombre Usuario
1	DEMARCACION VIAL				LAURA CAMILA NIETO ROBAYO
1,1	LINEAS DE DEMARCACION CON PINTURA EN FRIO (linea central, linea de borde de pavimento)	ML	281,2		LAURA CAMILA NIETO ROBAYO
1,2	MARCA VIAL CON PNTURA EN FRIO (Demarcacion resaltos,pasos peatonal, delimitacion vial via, flechas)	M2	137,0148		LAURA CAMILA NIETO ROBAYO
1,3	SUMINISTRO E INSTALACION DE ESTOPEROLES DE 10x3.0 CM (Incluye suministro e instalacion)	UND	90		LAURA CAMILA NIETO ROBAYO
1,4	SUMINISTRO Y APLICACION DE LINEAS DE DEMARCACION DE PARQUEADERO CON PINTURA EN FRIO (Ancho 25cm)	ML	474,2		LAURA CAMILA NIETO ROBAYO
1,5	SUMINISTRO E INSTALACION DE TACHAS REFLECTIVAS (INCLUYE ANCLAJES PARA SU INSTALACIÓN)	UND	140,5		LAURA CAMILA NIETO ROBAYO
1,6	SUMINISTRO Y APLICACION DE MARCA VIAL CON PINTURA EN FRIO - PICTOGRAMAS	M2 	34,4		LAURA CAMILA NIETO ROBAYO
2	SEÑALIZACION VERTICAL				LAURA CAMILA NIETO ROBAYO
2,1	SUMINISTRO SEÑAL VERTICAL GRUPO I 0.60x0.60M POSTE 3.5M	UN	7		LAURA CAMILA NIETO ROBAYO
3	RESALTOS				LAURA CAMILA NIETO ROBAYO
3,1	RIEGO DE LIGA CON EMULSION ASFALTICA CRR-1	M2	22,2		LAURA CAMILA NIETO ROBAYO
3,2	ASFALTO PARA RESALTO MCD-2	M3	2,22		LAURA CAMILA NIETO ROBAYO
4	VARIOS				LAURA CAMILA NIETO ROBAYO
4,1	DESMONTE Y RETIRO DE SEÑALES VERTICALES	UND	1		LAURA CAMILA NIETO ROBAYO
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
