No Multiple					
Codigo Item	Descripcion	Unidad medida	Cantidad	Valor Unitario	Nombre Usuario
					
1	PRELIMINARES				YOMAIRA ASPRILLA SANCHEZ
1,1	CERCA EN TELA VERDE H = 2.10 M	ML	50,00		YOMAIRA ASPRILLA SANCHEZ
1,2	EXCAVACION MANUAL EN MATERIAL COMUN H=0.0-2.0 M (INCLUYE RETIRO DE SOBRANTES A UNA DISTANCIA MENOR DE 10 KM)	M3	9,00		YOMAIRA ASPRILLA SANCHEZ
1,3	DEMOLICION ADOQUIN SOBRE ARENA, H=0.15m.	M2	14,00		YOMAIRA ASPRILLA SANCHEZ
1,4	DESMONTE APARATOS SANITARIOS( SANITARIOS Y LAVAMANOS INFANTIL)	UND	5,00		YOMAIRA ASPRILLA SANCHEZ
2	CIMIENTOS				YOMAIRA ASPRILLA SANCHEZ
2,1	RELLENO CON MATERIAL DEL SITIO COMPACTADO MECÁNICAMENTE	M3	7,00		YOMAIRA ASPRILLA SANCHEZ
3	ESTRUCTURAS EN CONCRETO				YOMAIRA ASPRILLA SANCHEZ
3,1	DOVELA, GROUTING 3000 PSI Y/O COLUMNETAS	ML	40,00		YOMAIRA ASPRILLA SANCHEZ
3,2	ANCLAJE 1/2PULG L=50CM	UND	50,00		YOMAIRA ASPRILLA SANCHEZ
3,3	MESONES EN CONCRETO 2500 P.S.I, E=0.1M (INCLUYE REFUERZO)	M2	7,00		YOMAIRA ASPRILLA SANCHEZ
4	MAMPOSTERIA				YOMAIRA ASPRILLA SANCHEZ
4,1	INSTALACION DE ADOQUÍN DE ARCILLA 20X10X6CM	M2	14,00		YOMAIRA ASPRILLA SANCHEZ
4,2	MURO EN BLOQUE Nº 4 E=0.10 M (LINEAL) 	ML	6,00		YOMAIRA ASPRILLA SANCHEZ
4,3	ENCHAPE LADRILLO PRENSADO, textura lisa, tono natural	M2	6,00		YOMAIRA ASPRILLA SANCHEZ
4,4	REMATES LADRILLO PRENSADO	ML	57,00		YOMAIRA ASPRILLA SANCHEZ
5	PAÑETES				YOMAIRA ASPRILLA SANCHEZ
5,1	PAÑETE LISO SOBRE MURO m:1:4 e=1.5cm(Lineal)	ML	6,00		YOMAIRA ASPRILLA SANCHEZ
5,2	FILOS O DILATACIONES S/MURO	ML	2,00		YOMAIRA ASPRILLA SANCHEZ
6	PISOS,ACABADOS,ENCHAPES Y ACCESORIOS				YOMAIRA ASPRILLA SANCHEZ
6,1	ALISTADO PISOS 1:3, E=0.04	M2	124,00		YOMAIRA ASPRILLA SANCHEZ
6,2	"BALDOSA INSTITUCIONAL GRANO MARMOL P2; PAYANDE FONDO BLANCO. INCLUYE ALISTADO"	M2	124,00		YOMAIRA ASPRILLA SANCHEZ
6,3	DESTRONCAR,PULIR, SELLAR Y BRILLAR Y/O CRISTALIZADO DE  BALDOSA GRANO DE MARMOL 	M2	124,00		YOMAIRA ASPRILLA SANCHEZ
6,4	MEDIACAÑA EN GRANITO	ML	26,00		YOMAIRA ASPRILLA SANCHEZ
6,5	BALDOSA CERAMICA PARED 20. x 20 CALIDAD PRIMERA	M2	234,00		YOMAIRA ASPRILLA SANCHEZ
6,6	BALDOSA CERAMICA PARED 20. x 20 CALIDAD PRIMERA	ML	23,00		YOMAIRA ASPRILLA SANCHEZ
6,7	ACABADO EN GRANITO (INCLUYE DILATACIÓN EN BRONCE Y PULIDA) SOBRE MESON EN CONCRETO	M2	18,00		YOMAIRA ASPRILLA SANCHEZ
6,8	REJILLA CON SOSCO 3X2PULG	UN	4,00		YOMAIRA ASPRILLA SANCHEZ
6,9	TAPA REGISTRO 20X20	UN	4,00		YOMAIRA ASPRILLA SANCHEZ
6,10	REMATES BOCEL ALUMINIO	ML	116,00		YOMAIRA ASPRILLA SANCHEZ
7	INSTALACIONES HIDRAULICAS Y SANITARIAS				YOMAIRA ASPRILLA SANCHEZ
7,1	RED SUMINISTRO  PVC. 2PULG	ML	5,00		YOMAIRA ASPRILLA SANCHEZ
7,2	RED SUMINISTRO  PVC. 11/4PULG	ML	5,00		YOMAIRA ASPRILLA SANCHEZ
7,3	RED SUMINISTRO  PVC. 3/4PULG	ML	5,00		YOMAIRA ASPRILLA SANCHEZ
7,4	REGISTRO DE 11/4PULG	UN	2,00		YOMAIRA ASPRILLA SANCHEZ
7,5	REGISTRO DE 3/4PULG	UN	2,00		YOMAIRA ASPRILLA SANCHEZ
7,6	LLAVE DE MANGUERA	UND	2,00		YOMAIRA ASPRILLA SANCHEZ
7,7	RED SANITARIA PVC-S 4PULG	ML	29,00		YOMAIRA ASPRILLA SANCHEZ
7,8	CONEXION TANQUE ELEVADO PVC	UND	1,00		YOMAIRA ASPRILLA SANCHEZ
7,9	TANQUE PLÁSTICO ELEVADO 500 LT (INCLUYE ACCESORIOS E INSTALACION	UND	1,00		YOMAIRA ASPRILLA SANCHEZ
7,10	BAJANTE AGUAS LLUVIAS PVC 4PULG	ML	28,00		YOMAIRA ASPRILLA SANCHEZ
7,11	SUMINISTRO E INSTALACION DE EQUIPO HIDRONEUMATICO DE 1/2 HP (INCLUYE TANQUE DE RESERVA DE 300 LITROS)	UND	1,00		YOMAIRA ASPRILLA SANCHEZ
8	INSTALACIONES ELECTRICAS				YOMAIRA ASPRILLA SANCHEZ
8,1	SUMINISTRO E INTALACION DE LUMINARIA 4xTL5-24W CON CERTIFICADO RETIE Y RETILAP	UN	10		YOMAIRA ASPRILLA SANCHEZ
8,2	SUMINISTRO E INSTALACION DE TOMA POLO A TIERRA ESPECIAL CON PROTECCION Y HUMEDADES(GFCI) 180 w	UN	8		YOMAIRA ASPRILLA SANCHEZ
8,3	SUMINISTRO E INSTALACION DE INTERUPTOR SENCILLO	UN	4		YOMAIRA ASPRILLA SANCHEZ
8,4	SUMINISTRO E INSTALACION DE BREAKERT MONOFASICO DE 20A	UN	2		YOMAIRA ASPRILLA SANCHEZ
8,5	SUMINISTRO E INSTALACION DE BREAKERT MONOFASICO DE 30A	UN	4		YOMAIRA ASPRILLA SANCHEZ
8,6	SUMINISTRO E INSTALACION DUCHA ELECTRICA 	UN	2		YOMAIRA ASPRILLA SANCHEZ
8,7	SUMINISTRO E INSTALACION DE ALAMBRE AWG THNN CAL. Nº 12	M	300		YOMAIRA ASPRILLA SANCHEZ
8,8	SUMINISTRO E INSTALACION DE ALAMBRE AWG  CAL. Nº 12 DESNUDO	M	150		YOMAIRA ASPRILLA SANCHEZ
9	CARPINTERIA METALICA				YOMAIRA ASPRILLA SANCHEZ
9,1	PUERTA EN LÁMINA CAL 18 INC. ANTICORROSIVO TIPO PANEL	UN	2,00		YOMAIRA ASPRILLA SANCHEZ
9,2	CERRADURA DE ENTRADA PRINCIPAL	UN	2,00		YOMAIRA ASPRILLA SANCHEZ
9,3	VENTANA EN ALUMINIO CORREDIZA( INCLUYE VIDRIO)	M2	10,00		YOMAIRA ASPRILLA SANCHEZ
9,4	SUMINISTRO E INSTALACION DE PUERTA EN ACERO INOXIDABLE - INCLUYE PASADOR	M2	14,00		YOMAIRA ASPRILLA SANCHEZ
9,5	DOS BARANDAS  DE  4,60 METROS POR 0,70 METROS DE ALTO EN TUBO DE 2 1/2 PULGADAS CON PARAL CENTRALES CON CHAPETA EN LAS PUNTAS FIJADAS AL MURO MEDIANTE 4 TORNILLOS DE ANCLAJE, INCLUYE FONDEADO Y PINTURA	ML	9,20		YOMAIRA ASPRILLA SANCHEZ
9,6	BARANDA EN ACERO INOXIDABLE (PARA BAÑOS MINUSVALIDOS)	UN	2,00		YOMAIRA ASPRILLA SANCHEZ
9,7	PERFIL VIGUETA DE 2,44 ROLADA Y GRAFILADA, PARA REFUERZO APOYO LAMPARAS EN CIELO RASO	ML	6		YOMAIRA ASPRILLA SANCHEZ
9,8	PERFILERIA AUTOENSAMBLE COLOR BLANCO  PARA MARCO DE LAMPARA	UN	10		YOMAIRA ASPRILLA SANCHEZ
10	PINTURA				YOMAIRA ASPRILLA SANCHEZ
10,1	ESMALTE PUERTAS EN LAMINA	UN	9,00		YOMAIRA ASPRILLA SANCHEZ
10,2	ESMALTE SOBRE  LAMINA (MARCOS PUERTAS)	ML	11,00		YOMAIRA ASPRILLA SANCHEZ
10,3	LAVADO LADRILLO	M2	57,00		YOMAIRA ASPRILLA SANCHEZ
10,4	IMPERMEABILIZACION LADRILLO	M2	57,00		YOMAIRA ASPRILLA SANCHEZ
11	CIELO RASO				YOMAIRA ASPRILLA SANCHEZ
11,1	CIELO RASO PLANO DRYWALL (INCLUYE PINTURA)	M2	108,00		YOMAIRA ASPRILLA SANCHEZ
11,2	CIELO RASO PLANO EN SUPERBOARD (INCLUYE PINTURA)	M2	16,00		YOMAIRA ASPRILLA SANCHEZ
12	APARATOS SANITARIOS				YOMAIRA ASPRILLA SANCHEZ
12,1	SUMINISTRO E INSTALACION SANITARIO INFANTIL(INCLUYE GRIFERIA)	UN	6		YOMAIRA ASPRILLA SANCHEZ
12,2	SUMINISTRO E INSTALACION SANITARIO FLUXOMETRO (INCLUYE GRIFERIA) PARA MINUSVALIDOS	UN	2		YOMAIRA ASPRILLA SANCHEZ
12,3	SUMINISTRO E INSTALACION ORINAL INFANTIL(INCLUYE GRIFERIA)	UN	4		YOMAIRA ASPRILLA SANCHEZ
	SUMINISTRO E INSTALACION DE GRIFERIA PARA ORINAL TIPO PUS- ANTIVANDALICA 	UN	4		YOMAIRA ASPRILLA SANCHEZ
12,4	SUMINISTRO E INSTALACION LAVAMANOS DE EMPOTRAR(INCLUYE GRIFERIA)	UN	12		YOMAIRA ASPRILLA SANCHEZ
	SUMINISTRO E INSTALACION DE GRIFERIA PARA LAVAMANOS TIPO PUS- ANTIVANDALICA 	UN	12		YOMAIRA ASPRILLA SANCHEZ
12,6	SUMINISTRO E INSTALACION DE ACOPLES PARA APARATOS SANITARIOS	UN	20		YOMAIRA ASPRILLA SANCHEZ
12,7	INSTALACION SANITARIO INFANTIL (INCLUYE GRIFERIA) SOLO MANO DE OBRA	UN	2		YOMAIRA ASPRILLA SANCHEZ
12,8	 INSTALACION DE LAVAMANOS DE EMPOTRAR(INCLUYE GRIFERÍA)SOLO MANO DE OBRA 	UN	3		YOMAIRA ASPRILLA SANCHEZ
13	VIDRIOS Y ESPEJOS				YOMAIRA ASPRILLA SANCHEZ
